Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GuineaEcuatorialRural,0,0,0,0,0,2.39E-11,6.21E-11,2.08E-10,6.99E-10,2.22E-09,6.99E-09,2.08E-08,6.04E-08,1.71E-07,4.69E-07,1.27E-06,3.26E-06,8.21E-06,2.06E-05,4.82E-05,0.00010969,0.00023972,0.000494667,0.000965836,0.001751638,0.002989933,0.004709496,0.006841854,0.009215416,0.011491753,0.013175136,0.013849828,0.013527228,0.012364088,0.010600037,0.008849792,0.007393311,0.006317699,0.005777862,0.005536019,0.005166276,0.004869164,0.004610297,0.004375258,0.004097395,0.003845307
KenyaUrban,0,0,0,0,0,4.54E-08,1.78E-07,7.85E-07,3.06E-06,1.07E-05,3.42E-05,9.78E-05,0.000260558,0.000634811,0.001400263,0.002883042,0.005409811,0.009309307,0.014680258,0.021274842,0.028310468,0.034533423,0.039006554,0.040775285,0.039576478,0.035779599,0.030351708,0.024110078,0.018042476,0.012757009,0.008603731,0.005734546,0.004006498,0.0033577,0.003394201,0.003891061,0.00462966,0.005349267,0.006065713,0.006559994,0.006696874,0.006464479,0.005710517,0.005161269,0.004942549,0.004756665
KenyaRural,0,0,0,0,0,7.80E-06,7.46E-06,1.45E-05,2.81E-05,5.21E-05,9.81E-05,0.000184083,0.000336302,0.000604223,0.00105391,0.00178896,0.002922271,0.004532978,0.006668052,0.009260932,0.012176012,0.014893637,0.01716786,0.018581787,0.018892365,0.018134308,0.016494952,0.014350533,0.011919058,0.009631556,0.007573412,0.005901735,0.004654585,0.003753786,0.003168618,0.002850553,0.002683106,0.002545365,0.002511833,0.002470333,0.00234,0.002063968,0.001661649,0.001351918,0.001193897,0.001075164
LesothoUrban,0,0,0,0,0,4.32E-13,2.01E-12,1.18E-11,7.09E-11,4.30E-10,2.64E-09,1.61E-08,9.70E-08,5.65E-07,3.16E-06,1.63E-05,7.90E-05,0.000332327,0.001213638,0.003834644,0.010154516,0.022796893,0.041576826,0.063112667,0.079780193,0.086114768,0.083161835,0.074851776,0.06593308,0.058181132,0.053341109,0.051773451,0.052442273,0.054626962,0.057679463,0.060170364,0.060714809,0.058510107,0.053441645,0.049014864,0.045764801,0.043180044,0.042628461,0.042031048,0.041351527,0.040535691
LesothoRural,0,0,0,0,0,7.48E-14,5.82E-13,4.70E-12,3.70E-11,2.84E-10,2.02E-09,1.37E-08,8.39E-08,4.78E-07,2.51E-06,1.21E-05,5.13E-05,0.000193752,0.000644348,0.001858642,0.004617666,0.009832042,0.018018663,0.028131159,0.03817236,0.045379478,0.048351512,0.047809631,0.044939719,0.041096162,0.037695863,0.0352386,0.033834817,0.033460085,0.034007733,0.034758343,0.035178909,0.034641828,0.033201356,0.032208441,0.030884776,0.029061508,0.028830787,0.028673533,0.028514912,0.028426223
LiberiaUrban,0,0,0,0,0,3.59E-07,5.67E-07,1.39E-06,3.29E-06,7.49E-06,1.66E-05,3.56E-05,7.36E-05,0.000147087,0.00028306,0.000525024,0.00093286,0.001590588,0.002581699,0.004012051,0.005910517,0.008295783,0.0110023,0.013869518,0.01656244,0.018657477,0.019759196,0.019686194,0.018293289,0.015850358,0.012818033,0.009669396,0.006709291,0.004250965,0.002404487,0.001197335,0.000597943,0.000420187,0.000549757,0.000596921,0.000502367,0.000408094,0.00033338,0.000268268,0.000212952,0.000170241
LiberiaRural,0,0,0,0,0,1.02E-06,8.53E-07,1.60E-06,3.06E-06,5.83E-06,1.12E-05,2.23E-05,4.37E-05,8.56E-05,0.000164765,0.000309787,0.000570697,0.001012536,0.001750768,0.002864231,0.004475741,0.006623834,0.009212225,0.012056695,0.014768689,0.016913125,0.018141234,0.01826386,0.017148426,0.015033257,0.012514929,0.009820168,0.007320212,0.005094835,0.00334128,0.002138095,0.001453797,0.001187758,0.001227075,0.001176223,0.001003745,0.000848857,0.000707929,0.000584746,0.00047695,0.00038601
MalawiUrban,0,0,0,0,0,4.92E-06,9.92E-06,2.68E-05,6.70E-05,0.000159569,0.000351695,0.000722515,0.001398116,0.002553823,0.004393401,0.00712547,0.010956458,0.01580875,0.021312217,0.027246042,0.032847232,0.038010656,0.041844179,0.044239435,0.045090926,0.0444366,0.042695773,0.040114827,0.0369787,0.033630825,0.030221368,0.027001072,0.023910712,0.02108618,0.01848599,0.01606505,0.013570322,0.011072324,0.00959967,0.008129598,0.006897388,0.005861323,0.004711442,0.004130622,0.003645949,0.003196973
MalawiRural,0,0,0,0,0,6.07E-05,0.000125453,0.000312122,0.000667979,0.001316117,0.002562734,0.004294901,0.006419808,0.008683659,0.010841336,0.012574927,0.013740941,0.014311666,0.014166454,0.014283709,0.014775753,0.015197146,0.015882486,0.016672144,0.017663292,0.018766029,0.019676878,0.02044647,0.020996267,0.0211546,0.021033951,0.020524768,0.019583855,0.018170751,0.016201273,0.013874646,0.011019371,0.008127147,0.005863543,0.003962658,0.002674776,0.002052048,0.00160555,0.001340096,0.001113773,0.000882938
MaliUrban,0,0,0,0,0,5.76E-09,1.08E-08,2.90E-08,7.53E-08,1.87E-07,4.39E-07,1.01E-06,2.18E-06,4.56E-06,9.32E-06,1.81E-05,3.43E-05,6.19E-05,0.000109822,0.000190957,0.000323834,0.000531463,0.000848758,0.00131259,0.00195048,0.002780139,0.003804863,0.00490283,0.005919524,0.006739981,0.007183968,0.00722622,0.006774196,0.00597111,0.004943578,0.003917993,0.003086352,0.002453427,0.002048554,0.001831596,0.001686496,0.00152382,0.001361675,0.001210291,0.001078318,0.000963358
MaliRural,0,0,0,0,0,9.45E-06,1.08E-05,2.13E-05,4.12E-05,7.72E-05,0.000142297,0.000255419,0.000445204,0.000751811,0.001226563,0.001938989,0.002931197,0.004148432,0.005594344,0.007048611,0.008262418,0.009017621,0.009116266,0.008686405,0.007647288,0.006350761,0.005177999,0.004198255,0.003475822,0.002976741,0.002647943,0.002467636,0.002376829,0.002360819,0.002366133,0.002367485,0.002365802,0.002303263,0.002222966,0.002118671,0.002007358,0.001895971,0.00177736,0.001676152,0.001583221,0.001503328
NamibiaUrban,0,0,0,0,0,2.47E-06,1.86E-06,3.31E-06,5.94E-06,1.08E-05,2.02E-05,3.83E-05,7.26E-05,0.000138175,0.00026383,0.000497201,0.000926948,0.00166374,0.002884586,0.004797266,0.00763577,0.011572135,0.016473767,0.022117929,0.027956981,0.033288428,0.037334063,0.03961494,0.039886542,0.038262372,0.035167806,0.031140981,0.026731323,0.022575759,0.019073498,0.01637303,0.014339426,0.012916971,0.01216383,0.01168381,0.011510395,0.010986013,0.010613883,0.00909855,0.008223933,0.007366681
NamibiaRural,0,0,0,0,0,1.68E-06,2.11E-06,4.50E-06,9.44E-06,1.92E-05,3.78E-05,7.31E-05,0.000137287,0.000250357,0.000448219,0.000775539,0.00130806,0.002120717,0.003323502,0.005001457,0.007324867,0.010320019,0.013997474,0.018252893,0.022912286,0.027473734,0.031406752,0.034286362,0.035772032,0.035765628,0.034438401,0.031912543,0.028709411,0.025344671,0.022130596,0.019399651,0.017147411,0.015418007,0.014359558,0.013585489,0.013146447,0.012426205,0.011768881,0.010054066,0.00916701,0.008257019
NigeriaUrban,0,0,0,0,0,5.23E-12,4.37E-11,3.43E-10,2.39E-09,1.47E-08,8.37E-08,4.09E-07,1.83E-06,7.22E-06,2.54E-05,7.95E-05,0.000225173,0.000558341,0.001221646,0.002352288,0.004034485,0.006093737,0.008186525,0.009906063,0.010784159,0.010769998,0.01000556,0.008845408,0.007609118,0.006528402,0.005771971,0.005327724,0.005188726,0.005277872,0.005556003,0.005955697,0.006473621,0.00702948,0.007677159,0.008190966,0.008684729,0.009053983,0.009338179,0.009575668,0.009863765,0.010097478
NigeriaRural,0,0,0,0,0,3.75E-07,3.80E-07,7.47E-07,1.45E-06,2.74E-06,5.08E-06,9.25E-06,1.65E-05,2.89E-05,5.06E-05,8.51E-05,0.000141509,0.000229893,0.00035922,0.000549007,0.000819522,0.001177694,0.00164314,0.002214813,0.00287424,0.00359328,0.004371744,0.005128216,0.005787894,0.006329173,0.006681646,0.006856514,0.006787035,0.006489653,0.006011951,0.005371185,0.004661007,0.00388753,0.003170789,0.002457856,0.001875324,0.001561452,0.001380158,0.001187436,0.001012922,0.000841795
RwandaUrban,0,0,0,0,0,0.000238617,0.000409647,0.000973405,0.002113951,0.004214625,0.007711933,0.012792082,0.019509624,0.027234999,0.035125681,0.041637421,0.04599749,0.047104292,0.045004233,0.040238976,0.033956465,0.028495252,0.021630123,0.015934338,0.011304791,0.008690033,0.007309035,0.006540827,0.00637626,0.006501745,0.006798954,0.007067558,0.00741791,0.007742437,0.008038644,0.008034975,0.006968106,0.00622236,0.005905258,0.005317497,0.004477296,0.004199859,0.004321512,0.004141618,0.003900381,0.003626238
RwandaRural,0,0,0,0,0,0.000147257,0.000269181,0.0006756,0.00150083,0.002939521,0.005070098,0.007640577,0.009964259,0.011389032,0.011497285,0.01042794,0.008766259,0.007155713,0.005890558,0.004972874,0.004495219,0.004368483,0.004452628,0.004708228,0.004855659,0.005247924,0.00526228,0.005085859,0.004702887,0.004168036,0.003572164,0.002980993,0.002411694,0.001940476,0.001600865,0.001366056,0.001178695,0.001105409,0.001008739,0.00086287,0.000729925,0.00061752,0.000555827,0.000497494,0.000436526,0.000384946
SierraLeoneUrban,0,0,0,0,0,6.33E-13,2.27E-12,9.34E-12,3.71E-11,1.42E-10,5.26E-10,1.87E-09,6.26E-09,2.07E-08,6.41E-08,1.91E-07,5.46E-07,1.52E-06,4.02E-06,1.02E-05,2.46E-05,5.62E-05,0.000121052,0.000246933,0.000481421,0.000879244,0.001505736,0.002417511,0.00360586,0.005017834,0.006485519,0.007751734,0.008583618,0.008780711,0.008340941,0.007362364,0.006015041,0.004589177,0.003287534,0.00221523,0.001458566,0.001105326,0.000844317,0.000713932,0.000616139,0.000527895
SierraLeoneRural,0,0,0,0,0,1.13E-07,9.26E-08,1.67E-07,3.03E-07,5.36E-07,9.64E-07,1.72E-06,3.03E-06,5.31E-06,9.24E-06,1.57E-05,2.65E-05,4.36E-05,6.99E-05,0.000109127,0.000163704,0.000243668,0.00034866,0.000490081,0.000664786,0.00087968,0.001125093,0.001409161,0.001712524,0.002059608,0.002424486,0.002774239,0.003111599,0.00338429,0.003638497,0.003830638,0.003949539,0.00398913,0.004009456,0.00392316,0.003794371,0.003682457,0.003361221,0.003306761,0.003277131,0.003213795
TanzaniaUrban,0,0,0,0,0,0.000263961,0.000256668,0.000473458,0.000842763,0.001444205,0.002375019,0.003704843,0.00555638,0.007951318,0.010836549,0.014105159,0.017435574,0.020503395,0.022970136,0.024565281,0.02517141,0.024728355,0.023541228,0.021774391,0.019712528,0.017730035,0.01601609,0.014658273,0.013674399,0.013005945,0.012578481,0.012287357,0.012086804,0.011895711,0.011639517,0.011224077,0.010510656,0.0095715,0.008616303,0.007860525,0.007385732,0.006511167,0.006110188,0.005789279,0.005437514,0.00508934
TanzaniaRural,0,0,0,0,0,3.14E-05,2.46E-05,4.33E-05,7.70E-05,0.000135433,0.000235212,0.000405509,0.000678655,0.001119237,0.001789802,0.002759506,0.004088167,0.005725632,0.007580379,0.00946435,0.01111938,0.012307024,0.012795998,0.012516404,0.011627366,0.010367163,0.009038251,0.007853185,0.006905675,0.006204894,0.005744242,0.005473769,0.005338097,0.005293087,0.005283379,0.005265575,0.005156735,0.004975414,0.004794401,0.004557278,0.004350204,0.003851203,0.00366164,0.003508741,0.003342199,0.00315715
TogoUrban,0,0,0,0,0,2.75E-05,2.53E-05,4.48E-05,7.65E-05,0.000126607,0.000205481,0.000320109,0.000479214,0.00069704,0.000984949,0.001355518,0.001829977,0.002394456,0.003063835,0.003843533,0.004722117,0.005690147,0.0067078,0.007728479,0.008705184,0.009557968,0.010216137,0.01061783,0.010686479,0.010448549,0.009925234,0.009203509,0.008364301,0.007474153,0.006617879,0.005892934,0.005283014,0.00492523,0.004700859,0.004492832,0.004221075,0.00384992,0.003475763,0.003091318,0.002797115,0.002607981
TogoRural,0,0,0,0,0,1.23E-05,1.16E-05,2.04E-05,3.46E-05,5.87E-05,9.64E-05,0.000152524,0.000236609,0.000356189,0.000521243,0.000746763,0.001040221,0.001398259,0.001846739,0.002313635,0.002839056,0.003372408,0.003877473,0.004306763,0.004652089,0.004886304,0.00499836,0.005037257,0.00499004,0.004894341,0.004774198,0.004640073,0.00451046,0.0043873,0.00429564,0.004248093,0.004202397,0.004242822,0.004331453,0.004344613,0.004237381,0.004074012,0.003931182,0.003766619,0.003647631,0.003586284
UgandaUrban,0,0,0,0,0,4.60E-06,2.21E-05,0.000102684,0.00040145,0.001325993,0.003689644,0.00875842,0.017013675,0.028042424,0.040271632,0.049749298,0.054848634,0.053668517,0.047690409,0.039273068,0.030209465,0.021664832,0.015421697,0.011142967,0.008643781,0.007449389,0.007219582,0.00757831,0.008229395,0.008992055,0.009790578,0.01057558,0.011261731,0.011848747,0.012232042,0.011999231,0.011512131,0.011262658,0.010315223,0.008866909,0.007942246,0.007408278,0.006981588,0.006507963,0.00595056,0.005538137
UgandaRural,0,0,0,0,0,3.27E-08,1.78E-07,9.74E-07,4.76E-06,2.10E-05,7.68E-05,0.000253787,0.000725555,0.001770788,0.003856545,0.007286344,0.012007702,0.017029837,0.021146888,0.023349678,0.022935654,0.01986381,0.015197355,0.010428744,0.006335163,0.003491882,0.002123509,0.001956316,0.002477307,0.003272021,0.004193221,0.005133577,0.006077708,0.006980469,0.007797436,0.008263445,0.008466537,0.008615828,0.008071433,0.007053064,0.006518594,0.006346303,0.00624256,0.006036052,0.005803115,0.005612202
ZambiaUrban,0,0,0,0,0,4.38E-05,9.39E-05,0.000257009,0.000660216,0.001546416,0.003373571,0.006609271,0.011830714,0.019116648,0.027751563,0.036316481,0.043639116,0.048697728,0.05097045,0.051315328,0.050575441,0.048438118,0.046122361,0.044015733,0.042178665,0.040738684,0.039736539,0.039005332,0.038514621,0.038284108,0.038142577,0.038269843,0.03795255,0.037245063,0.035515836,0.033254754,0.030249497,0.026358158,0.02119171,0.018256044,0.016198924,0.0145273,0.012950906,0.011468704,0.009983911,0.008693257
ZambiaRural,0,0,0,0,0,0.000141586,0.000256015,0.000673349,0.001664952,0.003699276,0.007238829,0.012666162,0.018789097,0.024083653,0.026916786,0.026334501,0.023430125,0.01930794,0.016310379,0.014119463,0.012646868,0.012243886,0.012593116,0.013404974,0.014520957,0.015618028,0.01638209,0.01681111,0.016992529,0.016885904,0.01653621,0.015838482,0.015055595,0.01414332,0.012902224,0.011677477,0.010512693,0.009405891,0.007992329,0.00717045,0.006445751,0.005834797,0.005262055,0.004701036,0.004120701,0.00359507
ZimbabweUrban,0,0,0,0,0,1.53E-05,3.38E-05,9.36E-05,0.00023692,0.000557904,0.001200755,0.002381594,0.004347133,0.00731095,0.011353992,0.016637588,0.023001868,0.029776733,0.036958786,0.043892304,0.05061751,0.056128288,0.060639317,0.063771907,0.065283267,0.064761389,0.061763266,0.05662664,0.04983799,0.041995355,0.034053037,0.02674727,0.020565633,0.015929465,0.012905215,0.011463235,0.011392153,0.012018986,0.012960382,0.013409168,0.0123006,0.011026924,0.011334148,0.010061104,0.009218241,0.008397535
ZimbabweRural,0,0,0,0,0,0.000152751,1.90E-05,4.45E-05,8.05E-05,0.000139395,0.000242624,0.000428906,0.00076633,0.001378475,0.002473535,0.004383922,0.007540406,0.012335546,0.018995674,0.027301091,0.036395628,0.044801423,0.050705227,0.053011118,0.051512635,0.047096592,0.04132805,0.035485748,0.030184404,0.025906695,0.02270736,0.020453469,0.019024971,0.018114374,0.017555992,0.017006865,0.016337066,0.015484531,0.014583309,0.013412517,0.011955689,0.010886855,0.010432282,0.009062614,0.008355727,0.007520758
BurundiUrban,0,0,0,0,0,0.000188887,0.0001991,0.000375631,0.000680714,0.001200002,0.00201778,0.003224058,0.004963287,0.007335207,0.010266899,0.013676404,0.017423546,0.020886373,0.023850548,0.025751402,0.026527018,0.025952711,0.024337743,0.021882607,0.0189905,0.016162299,0.01364954,0.011600568,0.009974102,0.008785772,0.007870018,0.007196495,0.006580928,0.006067286,0.005493574,0.004848235,0.004164276,0.003507438,0.002846856,0.002316721,0.001942063,0.001687514,0.001458467,0.001256474,0.001062916,0.000917762
BurundiRural,0,0,0,0,0,5.92E-10,1.47E-09,5.86E-09,2.26E-08,9.25E-08,3.82E-07,1.55E-06,6.13E-06,2.36E-05,8.49E-05,0.000281754,0.000851618,0.002300243,0.00532888,0.010594223,0.017929489,0.025550747,0.030512525,0.030618174,0.02573274,0.017949282,0.010281398,0.004885229,0.001883191,0.000938755,0.001268738,0.002169894,0.003201841,0.00416078,0.00490062,0.005357183,0.005523484,0.005347317,0.004948232,0.004395833,0.004024265,0.003815923,0.003624034,0.003458802,0.003324545,0.003159661
BotUrb2x,0,0,0,0,0,9.66E-06,1.24E-05,2.68E-05,5.67E-05,0.00011744,0.000237274,0.000484631,0.000912731,0.001680958,0.00300521,0.005181545,0.00878513,0.013819668,0.020775427,0.029652082,0.040051862,0.050100318,0.06075651,0.06986944,0.076450015,0.079888172,0.079884797,0.077981104,0.074094096,0.068867099,0.063039455,0.05702846,0.051236933,0.045653018,0.040185932,0.035024497,0.031085884,0.028268895,0.026375216,0.024229944,0.021900696,0.019783877,0.01820596,0.016684539,0.015182068,0.013829753
